eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
maybe your name really is tom.,vielleicht heißt du wirklich tom.,maybe your name really is tom .,<sos> vielleicht heit du wirklich tom .,vielleicht heit du wirklich tom . <eos>,7,7
she kindly showed me the way.,sie zeigte mir freundlicherweise den weg.,she kindly showed me the way .,<sos> sie zeigte mir freundlicherweise den weg .,sie zeigte mir freundlicherweise den weg . <eos>,7,8
the guy driving the truck that crashed into our car didn't have a driver's license.,"der fahrer des lkws, der unser auto rammte, hatte keinen führerschein.",the guy driving the truck that crashed into our car did not have a driver 's license .,"<sos> der fahrer des lkws , der unser auto rammte , hatte keinen fuhrerschein .","der fahrer des lkws , der unser auto rammte , hatte keinen fuhrerschein . <eos>",18,15
this is the hotel where we stayed last year.,"dies ist das hotel, in dem wir letztes jahr waren.",this is the hotel where we stayed last year .,"<sos> dies ist das hotel , in dem wir letztes jahr waren .","dies ist das hotel , in dem wir letztes jahr waren . <eos>",10,13
he accommodated the traveler for the night.,er gab dem reisenden eine unterkunft für die nacht.,he accommodated the traveler for the night .,<sos> er gab dem reisenden eine unterkunft fur die nacht .,er gab dem reisenden eine unterkunft fur die nacht . <eos>,8,11
there were demonstrations against the government by japanese university students in the 1960's.,in den 1960er jahren demonstrierten japanische studenten gegen die regierung.,there were demonstrations against the government by japanese university students in the 1960 's .,<sos> in den 1960er jahren demonstrierten japanische studenten gegen die regierung .,in den 1960er jahren demonstrierten japanische studenten gegen die regierung . <eos>,15,12
tom wouldn't even look at me.,tom sah mich nicht einmal an.,tom would not even look at me .,<sos> tom sah mich nicht einmal an .,tom sah mich nicht einmal an . <eos>,8,8
my instinct was right.,mein instinkt hat ins schwarze getroffen.,my instinct was right .,<sos> mein instinkt hat ins schwarze getroffen .,mein instinkt hat ins schwarze getroffen . <eos>,5,8
our cat is in the kitchen.,unsere katze ist in der küche.,our cat is in the kitchen .,<sos> unsere katze ist in der kuche .,unsere katze ist in der kuche . <eos>,7,8
tom knows this town inside out.,tom kennt diese stadt wie seine westentasche.,tom knows this town inside out .,<sos> tom kennt diese stadt wie seine westentasche .,tom kennt diese stadt wie seine westentasche . <eos>,7,9
wait for tom.,wartet auf tom!,wait for tom .,<sos> wartet auf tom !,wartet auf tom ! <eos>,4,5
tom is not far off the mark.,tom liegt nicht weit daneben.,tom is not far off the mark .,<sos> tom liegt nicht weit daneben .,tom liegt nicht weit daneben . <eos>,8,7
i don't like the way you laugh at her.,"mir gefällt nicht, wie du sie auslachst.",i do not like the way you laugh at her .,"<sos> mir gefallt nicht , wie du sie auslachst .","mir gefallt nicht , wie du sie auslachst . <eos>",11,10
i told the police everything i know.,"ich habe der polizei alles gesagt, was ich weiß.",i told the police everything i know .,"<sos> ich habe der polizei alles gesagt , was ich wei .","ich habe der polizei alles gesagt , was ich wei . <eos>",8,12
tom's somewhere in the park.,tom treibt sich irgendwo im park herum.,tom 's somewhere in the park .,<sos> tom treibt sich irgendwo im park herum .,tom treibt sich irgendwo im park herum . <eos>,7,9
have you already had breakfast?,haben sie schon gefrühstückt?,have you already had breakfast ?,<sos> haben sie schon gefruhstuckt ?,haben sie schon gefruhstuckt ? <eos>,6,6
why do people kill themselves?,wieso nehmen sich menschen das leben?,why do people kill themselves ?,<sos> wieso nehmen sich menschen das leben ?,wieso nehmen sich menschen das leben ? <eos>,6,8
i visited her in germany.,ich habe sie in deutschland besucht.,i visited her in germany .,<sos> ich habe sie in deutschland besucht .,ich habe sie in deutschland besucht . <eos>,6,8
tom is the oldest player on our team.,tom ist unser mannschaftsältester.,tom is the oldest player on our team .,<sos> tom ist unser mannschaftsaltester .,tom ist unser mannschaftsaltester . <eos>,9,6
she screamed when she saw the snake.,"sie schrie, als sie die schlange sah.",she screamed when she saw the snake .,"<sos> sie schrie , als sie die schlange sah .","sie schrie , als sie die schlange sah . <eos>",8,10
i'd like tom to be happy.,"ich möchte, dass tom glücklich ist.",i would like tom to be happy .,"<sos> ich mochte , dass tom glucklich ist .","ich mochte , dass tom glucklich ist . <eos>",8,9
where's the best place to catch fish?,wo kann man am besten fische fangen?,where is the best place to catch fish ?,<sos> wo kann man am besten fische fangen ?,wo kann man am besten fische fangen ? <eos>,9,9
i'll be in my car.,ich werde in meinem auto sein.,i will be in my car .,<sos> ich werde in meinem auto sein .,ich werde in meinem auto sein . <eos>,7,8
he wants to participate in the contest.,er möchte an dem wettbewerb teilnehmen.,he wants to participate in the contest .,<sos> er mochte an dem wettbewerb teilnehmen .,er mochte an dem wettbewerb teilnehmen . <eos>,8,8
his father calls him tom.,sein vater nennt ihn tom.,his father calls him tom .,<sos> sein vater nennt ihn tom .,sein vater nennt ihn tom . <eos>,6,7
please shut the door quietly.,die tür bitte leise schließen!,please shut the door quietly .,<sos> die tur bitte leise schlieen !,die tur bitte leise schlieen ! <eos>,6,7
do you take work home with you?,nimmst du arbeit mit nach hause?,do you take work home with you ?,<sos> nimmst du arbeit mit nach hause ?,nimmst du arbeit mit nach hause ? <eos>,8,8
that's not why i came here.,deswegen bin ich nicht gekommen.,that is not why i came here .,<sos> deswegen bin ich nicht gekommen .,deswegen bin ich nicht gekommen . <eos>,8,7
you're a lot more beautiful than i remember.,"du bist viel hübscher, als ich mich entsinne.",you are a lot more beautiful than i remember .,"<sos> du bist viel hubscher , als ich mich entsinne .","du bist viel hubscher , als ich mich entsinne . <eos>",10,11
she is the person i was waiting for.,"sie ist diejenige, auf die ich wartete.",she is the person i was waiting for .,"<sos> sie ist diejenige , auf die ich wartete .","sie ist diejenige , auf die ich wartete . <eos>",9,10
tom sat down next to mary.,tom setzte sich neben maria.,tom sat down next to mary .,<sos> tom setzte sich neben maria .,tom setzte sich neben maria . <eos>,7,7
have you ever seen a koala?,hast du jemals einen koala gesehen?,have you ever seen a koala ?,<sos> hast du jemals einen koala gesehen ?,hast du jemals einen koala gesehen ? <eos>,7,8
don't give tom your number.,gib tom nicht deine nummer!,do not give tom your number .,<sos> gib tom nicht deine nummer !,gib tom nicht deine nummer ! <eos>,7,7
tom seems smart.,tom scheint schlau zu sein.,tom seems smart .,<sos> tom scheint schlau zu sein .,tom scheint schlau zu sein . <eos>,4,7
what's your blood type?,welche blutgruppe hast du?,what is your blood type ?,<sos> welche blutgruppe hast du ?,welche blutgruppe hast du ? <eos>,6,6
they lived a happy life.,sie führten ein glückliches leben.,they lived a happy life .,<sos> sie fuhrten ein gluckliches leben .,sie fuhrten ein gluckliches leben . <eos>,6,7
tom said he'd only talk to you.,"tom sagte, er werde nur mit euch reden.",tom said he would only talk to you .,"<sos> tom sagte , er werde nur mit euch reden .","tom sagte , er werde nur mit euch reden . <eos>",9,11
all seats are reserved.,alle plätze sind ausgebucht.,all seats are reserved .,<sos> alle platze sind ausgebucht .,alle platze sind ausgebucht . <eos>,5,6
i'm still not used to getting up so early.,ich bin so frühes aufstehen nicht gewohnt.,i am still not used to getting up so early .,<sos> ich bin so fruhes aufstehen nicht gewohnt .,ich bin so fruhes aufstehen nicht gewohnt . <eos>,11,9
stop looking at me.,hör auf mich anzuschauen.,stop looking at me .,<sos> hor auf mich anzuschauen .,hor auf mich anzuschauen . <eos>,5,6
you should not judge people by their appearance.,du sollst menschen nicht nach ihrem aussehen beurteilen.,you should not judge people by their appearance .,<sos> du sollst menschen nicht nach ihrem aussehen beurteilen .,du sollst menschen nicht nach ihrem aussehen beurteilen . <eos>,9,10
he banged his knee.,er stieß sich das knie.,he banged his knee .,<sos> er stie sich das knie .,er stie sich das knie . <eos>,5,7
"she sings well, to be sure, but she can't act.","sie singt gut, das ist richtig, aber sie kann nicht schauspielern.","she sings well , to be sure , but she can not act .","<sos> sie singt gut , das ist richtig , aber sie kann nicht schauspielern .","sie singt gut , das ist richtig , aber sie kann nicht schauspielern . <eos>",14,15
i was completely overwhelmed.,ich war total überwältigt.,i was completely overwhelmed .,<sos> ich war total uberwaltigt .,ich war total uberwaltigt . <eos>,5,6
what is your name?,wie ist ihr name?,what is your name ?,<sos> wie ist ihr name ?,wie ist ihr name ? <eos>,5,6
she took something out of the bag.,sie nahm etwas aus dem sack.,she took something out of the bag .,<sos> sie nahm etwas aus dem sack .,sie nahm etwas aus dem sack . <eos>,8,8
i don't remember you.,ich erinnere mich nicht an dich.,i do not remember you .,<sos> ich erinnere mich nicht an dich .,ich erinnere mich nicht an dich . <eos>,6,8
have you bought your christmas gifts yet?,hast du schon weihnachtsgeschenke besorgt?,have you bought your christmas gifts yet ?,<sos> hast du schon weihnachtsgeschenke besorgt ?,hast du schon weihnachtsgeschenke besorgt ? <eos>,8,7
i know you forged tom's signature.,"ich weiß, dass du toms unterschrift gefälscht hast.",i know you forged tom 's signature .,"<sos> ich wei , dass du toms unterschrift gefalscht hast .","ich wei , dass du toms unterschrift gefalscht hast . <eos>",8,11
tom did the dishes even though no one asked him to.,"tom wusch ab, auch wenn ihn niemand darum gebeten hatte.",tom did the dishes even though no one asked him to .,"<sos> tom wusch ab , auch wenn ihn niemand darum gebeten hatte .","tom wusch ab , auch wenn ihn niemand darum gebeten hatte . <eos>",12,13
i'm not ignoring you.,ich ignoriere euch nicht.,i am not ignoring you .,<sos> ich ignoriere euch nicht .,ich ignoriere euch nicht . <eos>,6,6
i learned a lot.,ich habe viel gelernt.,i learned a lot .,<sos> ich habe viel gelernt .,ich habe viel gelernt . <eos>,5,6
i wish i could be in paris now.,ich wäre jetzt gerne in paris.,i wish i could be in paris now .,<sos> ich ware jetzt gerne in paris .,ich ware jetzt gerne in paris . <eos>,9,8
it wasn't me. it was the cat.,das war ich nicht. das war die katze.,it was not me . it was the cat .,<sos> das war ich nicht . das war die katze .,das war ich nicht . das war die katze . <eos>,10,11
what's your explanation?,was ist deine erklärung?,what is your explanation ?,<sos> was ist deine erklarung ?,was ist deine erklarung ? <eos>,5,6
i'm constipated.,ich habe verstopfung.,i am constipated .,<sos> ich habe verstopfung .,ich habe verstopfung . <eos>,4,5
what did you eat for lunch yesterday?,was haben sie gestern zu mittag gegessen?,what did you eat for lunch yesterday ?,<sos> was haben sie gestern zu mittag gegessen ?,was haben sie gestern zu mittag gegessen ? <eos>,8,9
the tactic worked.,die taktik ging auf.,the tactic worked .,<sos> die taktik ging auf .,die taktik ging auf . <eos>,4,6
we grow wheat here.,wir bauen hier weizen an.,we grow wheat here .,<sos> wir bauen hier weizen an .,wir bauen hier weizen an . <eos>,5,7
who are these people?,wer sind diese leute?,who are these people ?,<sos> wer sind diese leute ?,wer sind diese leute ? <eos>,5,6
don't try to fool me.,"versuchen sie nicht, mich zu täuschen.",do not try to fool me .,"<sos> versuchen sie nicht , mich zu tauschen .","versuchen sie nicht , mich zu tauschen . <eos>",7,9
i'd like to dance with you.,ich würde gerne mit dir tanzen.,i would like to dance with you .,<sos> ich wurde gerne mit dir tanzen .,ich wurde gerne mit dir tanzen . <eos>,8,8
sometimes you gotta do what you gotta do.,"manchmal muss man tun, was man eben tun muss.",sometimes you got to do what you got to do .,"<sos> manchmal muss man tun , was man eben tun muss .","manchmal muss man tun , was man eben tun muss . <eos>",11,12
do you know us?,kennen sie uns?,do you know us ?,<sos> kennen sie uns ?,kennen sie uns ? <eos>,5,5
what is tom eating?,was isst tom gerade?,what is tom eating ?,<sos> was isst tom gerade ?,was isst tom gerade ? <eos>,5,6
tom expected me to pay for everything.,"tom erwartete, dass ich für alles aufkomme.",tom expected me to pay for everything .,"<sos> tom erwartete , dass ich fur alles aufkomme .","tom erwartete , dass ich fur alles aufkomme . <eos>",8,10
tom is allergic to house dust.,tom ist gegen hausstaub allergisch.,tom is allergic to house dust .,<sos> tom ist gegen hausstaub allergisch .,tom ist gegen hausstaub allergisch . <eos>,7,7
do you always watch tv in the evening?,siehst du abends immer fern?,do you always watch tv in the evening ?,<sos> siehst du abends immer fern ?,siehst du abends immer fern ? <eos>,9,7
did you read my email?,habt ihr meine e-mail gelesen?,did you read my email ?,<sos> habt ihr meine e-mail gelesen ?,habt ihr meine e-mail gelesen ? <eos>,6,7
she killed him with a knife.,sie hat ihn mit einem messer umgebracht.,she killed him with a knife .,<sos> sie hat ihn mit einem messer umgebracht .,sie hat ihn mit einem messer umgebracht . <eos>,7,9
tom expects that mary will help us.,"tom erwartet, dass mary uns helfen wird.",tom expects that mary will help us .,"<sos> tom erwartet , dass mary uns helfen wird .","tom erwartet , dass mary uns helfen wird . <eos>",8,10
i expect him to come at any moment.,"ich erwarte, dass er jeden moment kommt.",i expect him to come at any moment .,"<sos> ich erwarte , dass er jeden moment kommt .","ich erwarte , dass er jeden moment kommt . <eos>",9,10
the professor smiled.,der professor lächelte.,the professor smiled .,<sos> der professor lachelte .,der professor lachelte . <eos>,4,5
read this now.,lest das jetzt.,read this now .,<sos> lest das jetzt .,lest das jetzt . <eos>,4,5
the only thing he eats is candy.,er isst nichts außer süßigkeiten.,the only thing he eats is candy .,<sos> er isst nichts auer suigkeiten .,er isst nichts auer suigkeiten . <eos>,8,7
tom and mary aren't happy here.,tom und maria fühlen sich hier nicht wohl.,tom and mary are not happy here .,<sos> tom und maria fuhlen sich hier nicht wohl .,tom und maria fuhlen sich hier nicht wohl . <eos>,8,10
tom doesn't like eggs.,tom mag keine eier.,tom does not like eggs .,<sos> tom mag keine eier .,tom mag keine eier . <eos>,6,6
i don't want to go bald.,ich will keine glatze bekommen.,i do not want to go bald .,<sos> ich will keine glatze bekommen .,ich will keine glatze bekommen . <eos>,8,7
which subject do you like best?,was ist dein lieblingsfach?,which subject do you like best ?,<sos> was ist dein lieblingsfach ?,was ist dein lieblingsfach ? <eos>,7,6
where did you get it?,wo hast du das her?,where did you get it ?,<sos> wo hast du das her ?,wo hast du das her ? <eos>,6,7
i beg your pardon. what did you say?,entschuldigen sie: was haben sie gesagt?,i beg your pardon . what did you say ?,<sos> entschuldigen sie : was haben sie gesagt ?,entschuldigen sie : was haben sie gesagt ? <eos>,10,9
please give me a chance to explain.,"geben sie mir bitte die möglichkeit, es zu erklären.",please give me a chance to explain .,"<sos> geben sie mir bitte die moglichkeit , es zu erklaren .","geben sie mir bitte die moglichkeit , es zu erklaren . <eos>",8,12
i agree with him on that point.,in diesem punkt stimme ich mit ihm überein.,i agree with him on that point .,<sos> in diesem punkt stimme ich mit ihm uberein .,in diesem punkt stimme ich mit ihm uberein . <eos>,8,10
you should consider the problem before coming to a decision.,"sie sollten das problem überdenken, bevor sie eine entscheidung treffen.",you should consider the problem before coming to a decision .,"<sos> sie sollten das problem uberdenken , bevor sie eine entscheidung treffen .","sie sollten das problem uberdenken , bevor sie eine entscheidung treffen . <eos>",11,13
you're the only one i've told.,"sie sind die einzige, der ich es gesagt habe.",you are the only one i have told .,"<sos> sie sind die einzige , der ich es gesagt habe .","sie sind die einzige , der ich es gesagt habe . <eos>",9,12
i need someone i can trust.,"ich brauche jemanden, dem ich vertrauen kann.",i need someone i can trust .,"<sos> ich brauche jemanden , dem ich vertrauen kann .","ich brauche jemanden , dem ich vertrauen kann . <eos>",7,10
please bear this fact in mind.,berücksichtige bitte diese tatsache.,please bear this fact in mind .,<sos> berucksichtige bitte diese tatsache .,berucksichtige bitte diese tatsache . <eos>,7,6
would you like to have a cup of tea?,wäre dir eine tasse tee gefällig?,would you like to have a cup of tea ?,<sos> ware dir eine tasse tee gefallig ?,ware dir eine tasse tee gefallig ? <eos>,10,8
let's get a cab.,nehmen wir uns ein taxi!,let us get a cab .,<sos> nehmen wir uns ein taxi !,nehmen wir uns ein taxi ! <eos>,6,7
"a few years ago, there was a huge scandal.",vor ein paar jahren gab es einen riesenskandal.,"a few years ago , there was a huge scandal .",<sos> vor ein paar jahren gab es einen riesenskandal .,vor ein paar jahren gab es einen riesenskandal . <eos>,11,10
take the dog for a walk.,führ den hund aus!,take the dog for a walk .,<sos> fuhr den hund aus !,fuhr den hund aus ! <eos>,7,6
mary is tom's older sister.,maria ist toms ältere schwester.,mary is tom 's older sister .,<sos> maria ist toms altere schwester .,maria ist toms altere schwester . <eos>,7,7
tom has enough money to buy it.,"tom hat genug geld, um es zu kaufen.",tom has enough money to buy it .,"<sos> tom hat genug geld , um es zu kaufen .","tom hat genug geld , um es zu kaufen . <eos>",8,11
he overlooked my mistake.,er übersah meinen fehler.,he overlooked my mistake .,<sos> er ubersah meinen fehler .,er ubersah meinen fehler . <eos>,5,6
what are we supposed to do with it?,was sollen wir damit anfangen?,what are we supposed to do with it ?,<sos> was sollen wir damit anfangen ?,was sollen wir damit anfangen ? <eos>,9,7
i was the worst student in the class.,ich war die schlechteste schülerin in der klasse.,i was the worst student in the class .,<sos> ich war die schlechteste schulerin in der klasse .,ich war die schlechteste schulerin in der klasse . <eos>,9,10
tom wanted mary to sign a prenuptial agreement.,"tom wollte, dass mary einen ehevertrag unterschreibt.",tom wanted mary to sign a prenuptial agreement .,"<sos> tom wollte , dass mary einen ehevertrag unterschreibt .","tom wollte , dass mary einen ehevertrag unterschreibt . <eos>",9,10
"in ancient times, plagues killed many people.",in früheren zeiten kamen viele menschen durch seuchen um.,"in ancient times , plagues killed many people .",<sos> in fruheren zeiten kamen viele menschen durch seuchen um .,in fruheren zeiten kamen viele menschen durch seuchen um . <eos>,9,11
we're not the only ones who've made mistakes.,nicht nur wir haben fehler gemacht.,we are not the only ones who have made mistakes .,<sos> nicht nur wir haben fehler gemacht .,nicht nur wir haben fehler gemacht . <eos>,11,8
that was my finger.,das war mein finger.,that was my finger .,<sos> das war mein finger .,das war mein finger . <eos>,5,6
keep that to yourself.,behalte das für dich!,keep that to yourself .,<sos> behalte das fur dich !,behalte das fur dich ! <eos>,5,6
they smiled at each other.,sie lächelten sich gegenseitig an.,they smiled at each other .,<sos> sie lachelten sich gegenseitig an .,sie lachelten sich gegenseitig an . <eos>,6,7
this flower is very beautiful.,diese blume ist sehr schön.,this flower is very beautiful .,<sos> diese blume ist sehr schon .,diese blume ist sehr schon . <eos>,6,7
which are tom's?,welche gehören tom?,which are tom 's ?,<sos> welche gehoren tom ?,welche gehoren tom ? <eos>,5,5
"""can you come over this afternoon?"" ""yes, i suppose i could.""","„kannst du heute nachmittag vorbeikommen?“ „ja, ich glaube, das könnte ich.“",""" can you come over this afternoon ? "" "" yes , i suppose i could . ""","<sos> kannst du heute nachmittag vorbeikommen ? ja , ich glaube , das konnte ich .","kannst du heute nachmittag vorbeikommen ? ja , ich glaube , das konnte ich . <eos>",18,16
many new properties are being built in the suburbs.,in den vororten werden viele neue häuser gebaut.,many new properties are being built in the suburbs .,<sos> in den vororten werden viele neue hauser gebaut .,in den vororten werden viele neue hauser gebaut . <eos>,10,10
i found a wallet on the street.,ich habe einen geldbeutel auf der straße gefunden.,i found a wallet on the street .,<sos> ich habe einen geldbeutel auf der strae gefunden .,ich habe einen geldbeutel auf der strae gefunden . <eos>,8,10
he comes back from sydney today.,er kommt heute aus sydney zurück.,he comes back from sydney today .,<sos> er kommt heute aus sydney zuruck .,er kommt heute aus sydney zuruck . <eos>,7,8
here is a song from the first album.,hier ist ein lied vom ersten album.,here is a song from the first album .,<sos> hier ist ein lied vom ersten album .,hier ist ein lied vom ersten album . <eos>,9,9
please speak french.,sprecht bitte französisch!,please speak french .,<sos> sprecht bitte franzosisch !,sprecht bitte franzosisch ! <eos>,4,5
tom said that he needs to learn how to do that.,"tom sagte, er müsse das lernen.",tom said that he needs to learn how to do that .,"<sos> tom sagte , er musse das lernen .","tom sagte , er musse das lernen . <eos>",12,9
"here, have a drink.","hier, trink etwas!","here , have a drink .","<sos> hier , trink etwas !","hier , trink etwas ! <eos>",6,6
i don't want to hear any of your complaints.,ich möchte keinerlei klagen von euch hören!,i do not want to hear any of your complaints .,<sos> ich mochte keinerlei klagen von euch horen !,ich mochte keinerlei klagen von euch horen ! <eos>,11,9
i'm right outside.,ich bin direkt draußen.,i am right outside .,<sos> ich bin direkt drauen .,ich bin direkt drauen . <eos>,5,6
i'm falling in love with you.,"ich bin dabei, mich in dich zu verlieben.",i am falling in love with you .,"<sos> ich bin dabei , mich in dich zu verlieben .","ich bin dabei , mich in dich zu verlieben . <eos>",8,11
have you ever caught a fish?,hast du schon einmal einen fisch gefangen?,have you ever caught a fish ?,<sos> hast du schon einmal einen fisch gefangen ?,hast du schon einmal einen fisch gefangen ? <eos>,7,9
what do you expect me to do?,was erwarten sie denn von mir?,what do you expect me to do ?,<sos> was erwarten sie denn von mir ?,was erwarten sie denn von mir ? <eos>,8,8
here is a photograph of my family.,hier ist ein foto von meiner familie.,here is a photograph of my family .,<sos> hier ist ein foto von meiner familie .,hier ist ein foto von meiner familie . <eos>,8,9
i had to throw most of my things away.,ich musste die meisten meiner sachen wegwerfen.,i had to throw most of my things away .,<sos> ich musste die meisten meiner sachen wegwerfen .,ich musste die meisten meiner sachen wegwerfen . <eos>,10,9
he may have read the letter.,vielleicht hat er den brief gelesen.,he may have read the letter .,<sos> vielleicht hat er den brief gelesen .,vielleicht hat er den brief gelesen . <eos>,7,8
tom's smarter than mary.,tom ist schlauer als mary.,tom 's smarter than mary .,<sos> tom ist schlauer als mary .,tom ist schlauer als mary . <eos>,6,7
you never call me.,sie rufen mich nie an.,you never call me .,<sos> sie rufen mich nie an .,sie rufen mich nie an . <eos>,5,7
when does it begin?,wann fängt es an?,when does it begin ?,<sos> wann fangt es an ?,wann fangt es an ? <eos>,5,6
life is so complicated.,das leben ist so kompliziert.,life is so complicated .,<sos> das leben ist so kompliziert .,das leben ist so kompliziert . <eos>,5,7
i'll see you on monday.,wir sehen uns am montag.,i will see you on monday .,<sos> wir sehen uns am montag .,wir sehen uns am montag . <eos>,7,7
tom's car died on him in the middle of the intersection.,toms auto hat mitten auf der kreuzung den geist aufgegeben.,tom 's car died on him in the middle of the intersection .,<sos> toms auto hat mitten auf der kreuzung den geist aufgegeben .,toms auto hat mitten auf der kreuzung den geist aufgegeben . <eos>,13,12
"it was very cold, so they stayed at home.","weil es sehr kalt war, blieben sie zu hause.","it was very cold , so they stayed at home .","<sos> weil es sehr kalt war , blieben sie zu hause .","weil es sehr kalt war , blieben sie zu hause . <eos>",11,12
tom didn't take the news very well.,tom nahm die nachricht nicht allzu gut auf.,tom did not take the news very well .,<sos> tom nahm die nachricht nicht allzu gut auf .,tom nahm die nachricht nicht allzu gut auf . <eos>,9,10
i am ashamed of your behavior.,ich bin beschämt über ihr verhalten.,i am ashamed of your behavior .,<sos> ich bin beschamt uber ihr verhalten .,ich bin beschamt uber ihr verhalten . <eos>,7,8
tom signed his name with the new pen that he got from mary.,"tom unterschrieb mit dem neuen stift, den er von maria bekommen hatte.",tom signed his name with the new pen that he got from mary .,"<sos> tom unterschrieb mit dem neuen stift , den er von maria bekommen hatte .","tom unterschrieb mit dem neuen stift , den er von maria bekommen hatte . <eos>",14,15
you had better tell me now.,du solltest es mir besser jetzt sagen.,you had better tell me now .,<sos> du solltest es mir besser jetzt sagen .,du solltest es mir besser jetzt sagen . <eos>,7,9
this is something to consider.,das ist wert bedacht zu werden.,this is something to consider .,<sos> das ist wert bedacht zu werden .,das ist wert bedacht zu werden . <eos>,6,8
tom is a better tennis player than i am.,tom ist ein besserer tennisspieler als ich.,tom is a better tennis player than i am .,<sos> tom ist ein besserer tennisspieler als ich .,tom ist ein besserer tennisspieler als ich . <eos>,10,9
i don't want you to quit.,"ich möchte nicht, dass du aufhörst.",i do not want you to quit .,"<sos> ich mochte nicht , dass du aufhorst .","ich mochte nicht , dass du aufhorst . <eos>",8,9
tom has no one to help him.,"tom hat niemanden, der ihm hilft.",tom has no one to help him .,"<sos> tom hat niemanden , der ihm hilft .","tom hat niemanden , der ihm hilft . <eos>",8,9
i'm a fast swimmer.,ich bin ein schneller schwimmer.,i am a fast swimmer .,<sos> ich bin ein schneller schwimmer .,ich bin ein schneller schwimmer . <eos>,6,7
tom knows a lot about computers.,tom kennt sich gut mit rechnern aus.,tom knows a lot about computers .,<sos> tom kennt sich gut mit rechnern aus .,tom kennt sich gut mit rechnern aus . <eos>,7,9
i know it was you.,"ich weiß, dass ihr es wart.",i know it was you .,"<sos> ich wei , dass ihr es wart .","ich wei , dass ihr es wart . <eos>",6,9
"""where is my phone?"" ""it's on my desk.""",„wo ist mein telefon?“ — „auf meinem schreibtisch.“,""" where is my phone ? "" "" it is on my desk . """,<sos> wo ist mein telefon ?   auf meinem schreibtisch .,wo ist mein telefon ?   auf meinem schreibtisch . <eos>,15,12
"in my opinion, it's not a good idea.",meiner meinung nach ist es keine gute idee.,"in my opinion , it is not a good idea .",<sos> meiner meinung nach ist es keine gute idee .,meiner meinung nach ist es keine gute idee . <eos>,11,10
the two ladies smiled at each other.,die zwei damen lächelten einander an.,the two ladies smiled at each other .,<sos> die zwei damen lachelten einander an .,die zwei damen lachelten einander an . <eos>,8,8
i rejected the offer.,ich lehnte das angebot ab.,i rejected the offer .,<sos> ich lehnte das angebot ab .,ich lehnte das angebot ab . <eos>,5,7
did you know that he bought a condominium?,"wusstet ihr, dass er eine eigentumswohnung gekauft hat?",did you know that he bought a condominium ?,"<sos> wusstet ihr , dass er eine eigentumswohnung gekauft hat ?","wusstet ihr , dass er eine eigentumswohnung gekauft hat ? <eos>",9,11
tom obeyed.,tom gehorchte.,tom obeyed .,<sos> tom gehorchte .,tom gehorchte . <eos>,3,4
he remained silent.,er blieb still.,he remained silent .,<sos> er blieb still .,er blieb still . <eos>,4,5
are we ready for it?,sind wir bereit dafür?,are we ready for it ?,<sos> sind wir bereit dafur ?,sind wir bereit dafur ? <eos>,6,6
"in the short time tom was away from his desk, mary scribbled something in his textbook.","als tom gerade nicht an seinem platz war, kritzelte maria etwas in sein schulbuch.","in the short time tom was away from his desk , mary scribbled something in his textbook .","<sos> als tom gerade nicht an seinem platz war , kritzelte maria etwas in sein schulbuch .","als tom gerade nicht an seinem platz war , kritzelte maria etwas in sein schulbuch . <eos>",18,17
what're you doing with that?,was machst du damit?,what are you doing with that ?,<sos> was machst du damit ?,was machst du damit ? <eos>,7,6
i'm no rebel.,ich bin kein aufständischer.,i am no rebel .,<sos> ich bin kein aufstandischer .,ich bin kein aufstandischer . <eos>,5,6
tom prefers brown rice.,tom bevorzugt naturreis.,tom prefers brown rice .,<sos> tom bevorzugt naturreis .,tom bevorzugt naturreis . <eos>,5,5
tom looked through the microscope.,tom schaute durch das mikroskop.,tom looked through the microscope .,<sos> tom schaute durch das mikroskop .,tom schaute durch das mikroskop . <eos>,6,7
gasoline prices affect all of us one way or another.,die benzinpreise betreffen uns alle auf die eine oder andere art.,gasoline prices affect all of us one way or another .,<sos> die benzinpreise betreffen uns alle auf die eine oder andere art .,die benzinpreise betreffen uns alle auf die eine oder andere art . <eos>,11,13
"could you carry this box for me, please?",könntest du mir diese kiste tragen?,"could you carry this box for me , please ?",<sos> konntest du mir diese kiste tragen ?,konntest du mir diese kiste tragen ? <eos>,10,8
"they're very, very good.","sie sind sehr, sehr gut.","they are very , very good .","<sos> sie sind sehr , sehr gut .","sie sind sehr , sehr gut . <eos>",7,8
please give me another chance.,geben sie mir bitte noch eine chance!,please give me another chance .,<sos> geben sie mir bitte noch eine chance !,geben sie mir bitte noch eine chance ! <eos>,6,9
you should wait inside.,du solltest drinnen warten.,you should wait inside .,<sos> du solltest drinnen warten .,du solltest drinnen warten . <eos>,5,6
tom eats too much junk food.,tom nimmt zu viel minderkost zu sich.,tom eats too much junk food .,<sos> tom nimmt zu viel minderkost zu sich .,tom nimmt zu viel minderkost zu sich . <eos>,7,9
you do look a little better today.,du siehst heute etwas besser aus.,you do look a little better today .,<sos> du siehst heute etwas besser aus .,du siehst heute etwas besser aus . <eos>,8,8
try not to get lost again.,"sehen sie zu, dass sie sich nicht wieder verirren!",try not to get lost again .,"<sos> sehen sie zu , dass sie sich nicht wieder verirren !","sehen sie zu , dass sie sich nicht wieder verirren ! <eos>",7,12
